investor_id,Missed_SIPs,Maximum_Gap,Average_Gap
INV000194,4,109.0,68.75
INV000195,6,114.0,58.333333333333336
INV000196,5,147.0,79.4
INV000197,3,210.0,134.66666666666666
INV000199,2,191.0,167.0
INV000200,5,163.0,76.8
INV000201,5,100.0,68.6
INV000202,2,272.0,174.0
INV000203,3,131.0,83.33333333333333
INV000204,4,173.0,94.0
INV000205,4,193.0,92.75
INV000206,2,175.0,130.0
INV000207,3,238.0,115.33333333333333
INV000210,5,163.0,84.4
INV000211,4,190.0,107.0
INV000212,1,88.0,88.0
INV000213,3,103.0,73.66666666666667
INV000214,4,206.0,94.0
INV000215,4,198.0,102.0
INV000216,2,107.0,94.0
INV000217,3,150.0,102.0
INV000219,2,166.0,102.0
INV000220,3,253.0,129.0
INV000221,3,101.0,65.66666666666667
INV000222,2,109.0,84.0
INV000223,5,123.0,76.8
INV000224,4,138.0,70.25
INV000225,5,150.0,72.6
INV000226,5,105.0,87.2
INV000227,1,165.0,165.0
INV000228,6,109.0,72.5
INV000229,4,78.0,60.0
INV000230,5,145.0,78.2
INV000231,3,96.0,76.66666666666667
INV000232,1,205.0,205.0
INV000233,1,205.0,205.0
INV000234,4,167.0,110.75
INV000235,4,140.0,83.0
INV000236,6,112.0,73.16666666666667
INV000237,2,127.0,81.5
INV000238,4,242.0,96.25
INV000239,5,66.0,49.4
INV000240,1,74.0,74.0
INV000241,4,93.0,68.0
INV000242,6,98.0,64.83333333333333
INV000243,6,126.0,68.33333333333333
INV000244,3,109.0,61.0
INV000245,5,92.0,72.8
INV000246,3,117.0,92.33333333333333
INV000248,2,204.0,125.5
INV000249,1,162.0,162.0
INV000251,2,204.0,140.5
INV000252,4,96.0,71.25
INV000253,1,458.0,458.0
INV000254,1,249.0,249.0
INV000255,4,149.0,93.75
INV000256,6,79.0,59.333333333333336
INV000257,4,88.0,78.0
INV000259,5,119.0,68.4
INV000260,3,126.0,91.66666666666667
INV000261,3,228.0,121.33333333333333
INV000262,4,95.0,70.25
INV000263,4,229.0,105.5
INV000264,1,158.0,158.0
INV000265,5,140.0,89.4
INV000266,4,104.0,85.75
INV000267,4,134.0,68.25
INV000268,6,106.0,62.833333333333336
INV000269,3,156.0,112.0
INV000270,3,130.0,78.66666666666667
INV000271,3,203.0,143.33333333333334
INV000272,2,228.0,133.0
INV000274,4,175.0,105.75
INV000275,2,255.0,193.0
INV000276,2,187.0,144.5
INV000278,5,193.0,84.8
INV000279,3,133.0,91.0
INV000280,5,112.0,71.8
INV000281,1,382.0,382.0
INV000282,2,278.0,165.5
INV000283,5,132.0,76.2
INV000284,4,137.0,92.5
INV000285,3,94.0,78.0
INV000286,3,215.0,137.0
INV000287,3,171.0,110.0
INV000288,7,84.0,60.285714285714285
INV000289,6,93.0,59.833333333333336
INV000290,2,229.0,159.0
INV000291,4,189.0,93.5
INV000292,5,85.0,64.0
INV000293,6,126.0,72.5
INV000294,3,156.0,106.66666666666667
INV000295,1,89.0,89.0
INV000296,5,111.0,79.6
INV000297,5,116.0,78.0
INV000298,5,118.0,74.0
INV000299,7,118.0,63.42857142857143
INV000300,1,131.0,131.0
INV000301,3,92.0,75.66666666666667
INV000303,4,160.0,104.5
INV000304,4,204.0,101.5
INV000305,4,122.0,72.5
INV000306,2,115.0,76.0
INV000307,4,162.0,107.0
INV000308,4,212.0,116.25
INV000309,7,93.0,59.142857142857146
INV000310,5,77.0,61.0
INV000311,2,233.0,143.5
INV000312,6,140.0,76.0
INV000313,2,310.0,248.5
INV000314,5,106.0,72.0
INV000315,3,113.0,73.33333333333333
INV000316,5,184.0,77.0
INV000317,3,250.0,146.33333333333334
INV000318,5,124.0,85.8
INV000319,4,189.0,96.75
INV000320,6,94.0,55.333333333333336
INV000321,6,117.0,67.83333333333333
INV000322,3,206.0,143.66666666666666
INV000323,3,129.0,80.0
INV000324,2,385.0,250.0
INV000325,2,138.0,113.5
INV000326,3,201.0,110.66666666666667
INV000327,3,274.0,167.66666666666666
INV000328,4,67.0,51.25
INV000329,2,163.0,126.0
INV000330,4,133.0,101.25
INV000331,3,163.0,105.33333333333333
INV000332,2,208.0,136.0
INV000333,4,174.0,112.75
INV000334,3,78.0,61.333333333333336
INV000335,6,163.0,68.33333333333333
INV000336,1,150.0,150.0
INV000337,3,192.0,117.0
INV000338,1,60.0,60.0
INV000339,4,180.0,112.75
INV000340,1,60.0,60.0
INV000341,3,191.0,127.66666666666667
INV000343,3,148.0,126.66666666666667
INV000344,3,155.0,82.33333333333333
INV000346,4,111.0,63.5
INV000347,1,224.0,224.0
INV000348,3,180.0,109.66666666666667
INV000349,5,103.0,71.6
INV000350,1,85.0,85.0
INV000351,3,142.0,95.66666666666667
INV000352,2,215.0,136.0
INV000353,2,301.0,173.0
INV000354,5,120.0,88.6
INV000356,2,157.0,107.0
INV000357,3,174.0,105.66666666666667
INV000358,1,88.0,88.0
INV000359,5,112.0,73.0
INV000360,5,124.0,87.4
INV000361,2,108.0,85.5
INV000362,1,264.0,264.0
INV000363,4,141.0,97.5
INV000364,3,100.0,63.0
INV000366,2,150.0,101.5
INV000367,1,116.0,116.0
INV000368,1,509.0,509.0
INV000369,3,112.0,68.66666666666667
INV000370,5,257.0,93.4
INV000371,4,147.0,91.0
INV000372,4,121.0,76.75
INV000373,2,243.0,145.5
INV000374,3,173.0,114.0
INV000376,2,155.0,106.5
INV000377,4,202.0,96.0
INV000378,3,88.0,65.33333333333333
INV000379,2,248.0,161.0
INV000380,4,191.0,109.75
INV000381,1,114.0,114.0
INV000382,1,70.0,70.0
INV000383,6,127.0,75.5
INV000384,4,110.0,73.5
INV000385,2,147.0,126.0
INV000387,4,108.0,71.25
INV000388,6,97.0,64.83333333333333
INV000389,4,220.0,110.25
INV000390,6,79.0,58.333333333333336
INV000392,4,144.0,95.25
INV000393,5,156.0,87.6
INV000394,4,174.0,93.25
INV000395,6,119.0,67.16666666666667
INV000396,6,95.0,67.16666666666667
INV000397,4,205.0,105.75
INV000398,1,72.0,72.0
INV000399,7,68.0,58.42857142857143
INV000400,4,82.0,56.75
INV000402,3,121.0,85.33333333333333
INV000403,4,120.0,83.25
INV000404,1,355.0,355.0
INV000405,1,60.0,60.0
INV000407,5,157.0,85.2
INV000408,3,125.0,94.66666666666667
INV000409,3,155.0,125.0
INV000410,3,152.0,105.33333333333333
INV000411,3,101.0,90.0
INV000412,5,69.0,53.6
INV000413,4,159.0,97.5
INV000414,4,219.0,88.25
INV000415,6,128.0,71.33333333333333
INV000416,1,119.0,119.0
INV000417,3,157.0,89.33333333333333
INV000418,4,126.0,98.75
INV000419,2,201.0,168.0
INV000421,4,202.0,114.25
INV000423,2,265.0,187.5
INV000424,1,100.0,100.0
INV000425,2,215.0,132.0
INV000426,2,171.0,105.0
INV000427,5,82.0,66.2
INV000428,4,154.0,98.5
INV000429,4,171.0,91.75
INV000430,4,264.0,111.5
INV000431,6,98.0,64.33333333333333
INV000432,3,195.0,144.0
INV000433,2,166.0,114.0
INV000436,2,170.0,104.5
INV000437,3,277.0,143.0
INV000438,3,117.0,100.33333333333333
INV000439,5,68.0,63.2
INV000440,5,116.0,76.6
INV000441,4,151.0,99.0
INV000442,3,193.0,145.0
INV000443,3,331.0,158.0
INV000444,3,97.0,72.66666666666667
INV000445,6,104.0,63.833333333333336
INV000446,4,95.0,75.75
INV000448,1,332.0,332.0
INV000449,6,142.0,78.5
INV000452,4,93.0,67.0
INV000453,3,108.0,69.66666666666667
INV000454,4,291.0,113.0
INV000455,2,171.0,123.0
INV000456,3,75.0,64.0
INV000457,4,151.0,95.25
INV000458,5,92.0,63.0
INV000459,2,195.0,128.0
INV000460,3,227.0,128.66666666666666
INV000461,2,90.0,67.5
INV000462,1,79.0,79.0
INV000463,6,76.0,54.166666666666664
INV000465,3,236.0,119.33333333333333
INV000466,4,135.0,100.0
INV000467,4,272.0,113.75
INV000469,5,104.0,64.2
INV000470,3,311.0,148.33333333333334
INV000471,3,163.0,104.33333333333333
INV000472,2,314.0,195.5
INV000473,2,190.0,122.5
INV000474,3,203.0,127.33333333333333
INV000475,2,346.0,218.0
INV000476,1,116.0,116.0
INV000477,5,93.0,69.8
INV000478,1,36.0,36.0
INV000479,1,99.0,99.0
INV000480,3,164.0,119.66666666666667
INV000481,5,117.0,82.6
INV000482,3,202.0,107.33333333333333
INV000483,5,216.0,88.2
INV000485,3,270.0,136.33333333333334
INV000486,1,160.0,160.0
INV000487,5,121.0,89.0
INV000488,5,203.0,86.4
INV000489,4,150.0,87.0
INV000490,2,163.0,115.5
INV000491,4,136.0,100.75
INV000492,3,143.0,137.66666666666666
INV000493,3,178.0,90.33333333333333
INV000494,2,162.0,134.5
INV000495,4,142.0,81.0
INV000496,4,167.0,79.0
INV000497,3,176.0,123.0
INV000498,2,231.0,143.5
INV000499,5,126.0,81.0
INV000500,3,119.0,89.33333333333333
INV000501,2,129.0,100.5
INV000503,2,72.0,70.5
INV000505,5,120.0,82.0
INV000506,2,80.0,71.5
INV000507,4,136.0,94.0
INV000508,1,124.0,124.0
INV000509,3,107.0,80.66666666666667
INV000510,3,190.0,150.0
INV000511,4,206.0,98.25
INV000512,5,112.0,69.8
INV000513,1,103.0,103.0
INV000514,3,135.0,71.66666666666667
INV000515,2,341.0,189.5
INV000516,1,340.0,340.0
INV000517,3,308.0,158.33333333333334
INV000518,1,217.0,217.0
INV000519,4,149.0,90.75
INV000520,4,156.0,79.75
INV000521,4,73.0,63.0
INV000522,7,87.0,60.714285714285715
INV000523,5,206.0,91.2
INV000524,5,91.0,65.0
INV000525,3,126.0,94.66666666666667
INV000526,4,107.0,74.25
INV000527,5,148.0,89.0
INV000529,5,117.0,65.8
INV000530,3,206.0,138.0
INV000531,4,82.0,57.25
INV000532,7,89.0,61.857142857142854
INV000533,3,225.0,137.0
INV000534,1,243.0,243.0
INV000535,3,263.0,146.33333333333334
INV000536,2,142.0,127.0
INV000537,3,105.0,88.33333333333333
INV000538,2,60.0,53.0
INV000539,4,153.0,98.75
INV000540,5,123.0,74.6
INV000541,1,56.0,56.0
INV000542,4,192.0,123.25
INV000543,5,170.0,94.6
INV000544,5,152.0,82.6
INV000545,5,107.0,76.2
INV000546,5,140.0,77.2
INV000547,6,157.0,71.5
INV000548,5,186.0,83.2
INV000549,4,146.0,100.75
INV000550,2,226.0,205.0
INV000551,3,192.0,131.0
INV000552,6,95.0,72.33333333333333
INV000553,3,172.0,102.66666666666667
INV000554,4,102.0,67.5
INV000555,2,375.0,216.5
INV000556,4,147.0,76.5
INV000557,2,294.0,187.5
INV000558,3,171.0,117.66666666666667
INV000559,2,314.0,193.0
INV000560,3,217.0,113.66666666666667
INV000562,2,197.0,171.0
INV000563,5,95.0,76.8
INV000564,2,162.0,126.0
INV000565,2,181.0,153.0
INV000566,3,122.0,107.66666666666667
INV000567,4,121.0,95.0
INV000568,3,99.0,80.0
INV000569,6,88.0,66.5
INV000570,5,93.0,81.4
INV000572,3,163.0,139.66666666666666
INV000573,4,93.0,57.0
INV000574,1,195.0,195.0
INV000575,2,155.0,139.0
INV000576,3,190.0,117.33333333333333
INV000577,3,169.0,109.33333333333333
INV000578,5,113.0,74.0
INV000580,5,92.0,65.8
INV000581,4,128.0,83.5
INV000583,4,133.0,91.25
INV000584,4,153.0,99.0
INV000585,4,130.0,93.25
INV000586,4,223.0,97.75
INV000587,5,112.0,59.2
INV000588,1,444.0,444.0
INV000589,6,90.0,64.5
INV000590,2,182.0,114.0
INV000591,5,112.0,69.8
INV000592,3,268.0,125.33333333333333
INV000593,6,86.0,56.833333333333336
INV000595,7,106.0,67.71428571428571
INV000596,6,101.0,65.5
INV000597,5,142.0,87.4
INV000598,4,170.0,112.5
INV000599,4,158.0,105.25
INV000600,4,156.0,109.5
INV000601,4,97.0,60.25
INV000602,6,128.0,59.666666666666664
INV000603,3,236.0,132.66666666666666
INV000604,6,75.0,57.5
INV000605,1,223.0,223.0
INV000606,4,148.0,80.25
INV000607,5,145.0,84.8
INV000608,4,241.0,122.25
INV000609,3,77.0,59.0
INV000611,3,121.0,98.66666666666667
INV000612,4,169.0,85.75
INV000613,1,227.0,227.0
INV000614,1,65.0,65.0
INV000615,3,139.0,91.0
INV000616,4,185.0,107.5
INV000617,2,77.0,64.0
INV000619,2,73.0,56.0
INV000621,5,105.0,73.2
INV000622,2,293.0,175.5
INV000623,4,143.0,82.5
INV000624,4,145.0,71.25
INV000625,5,91.0,66.6
INV000626,3,134.0,107.0
INV000627,2,268.0,236.5
INV000628,1,304.0,304.0
INV000629,3,276.0,116.66666666666667
INV000630,3,142.0,105.0
INV000631,4,82.0,70.25
INV000632,3,281.0,140.33333333333334
INV000633,5,120.0,86.2
INV000634,5,90.0,63.2
INV000635,3,221.0,109.0
INV000636,2,160.0,105.5
INV000637,3,154.0,87.33333333333333
INV000638,5,138.0,94.0
INV000639,5,129.0,88.6
INV000641,3,126.0,88.33333333333333
INV000642,7,139.0,68.0
INV000643,3,127.0,89.0
INV000644,1,313.0,313.0
INV000645,4,88.0,61.0
INV000646,4,96.0,69.25
INV000647,1,265.0,265.0
INV000648,3,88.0,65.33333333333333
INV000649,4,230.0,103.5
INV000650,3,171.0,143.66666666666666
INV000651,2,280.0,209.5
INV000652,5,154.0,76.6
INV000653,1,164.0,164.0
INV000654,3,166.0,147.66666666666666
INV000655,1,132.0,132.0
INV000656,5,116.0,74.4
INV000657,7,95.0,60.57142857142857
INV000658,3,153.0,108.0
INV000659,4,228.0,125.0
INV000660,2,99.0,72.5
INV000661,6,106.0,70.33333333333333
INV000662,5,113.0,69.4
INV000663,4,247.0,116.75
INV000664,4,149.0,73.25
INV000665,3,79.0,68.66666666666667
INV000666,3,170.0,104.33333333333333
INV000667,4,135.0,102.5
INV000668,3,339.0,159.0
INV000669,2,191.0,182.0
INV000670,2,143.0,97.0
INV000671,3,118.0,108.0
INV000672,1,41.0,41.0
INV000673,4,235.0,108.5
INV000675,4,111.0,68.75
INV000676,6,61.0,50.333333333333336
INV000677,3,226.0,151.0
INV000678,5,77.0,59.6
INV000679,2,193.0,145.5
INV000680,2,165.0,161.5
INV000681,1,246.0,246.0
INV000682,4,232.0,120.25
INV000683,4,137.0,102.75
INV000684,4,191.0,111.5
INV000686,1,203.0,203.0
INV000687,2,187.0,159.0
INV000688,1,81.0,81.0
INV000689,2,110.0,102.5
INV000690,5,116.0,76.0
INV000691,6,131.0,77.0
INV000693,4,116.0,84.0
INV000694,5,184.0,97.4
INV000695,5,110.0,80.2
INV000696,3,193.0,104.66666666666667
INV000698,5,101.0,65.0
INV000699,3,90.0,62.666666666666664
INV000700,1,93.0,93.0
INV000701,5,230.0,86.0
INV000702,2,188.0,143.5
INV000703,5,177.0,99.0
INV000704,3,183.0,110.66666666666667
INV000705,3,165.0,114.33333333333333
INV000706,5,116.0,74.4
INV000707,5,130.0,71.4
INV000708,5,182.0,88.4
INV000709,3,100.0,86.0
INV000710,5,143.0,86.4
INV000711,5,160.0,76.6
INV000713,2,177.0,114.5
INV000714,2,95.0,78.5
INV000715,4,107.0,74.75
INV000716,1,192.0,192.0
INV000717,4,232.0,109.25
INV000718,4,79.0,64.25
INV000719,5,129.0,72.4
INV000720,5,134.0,88.4
INV000721,4,210.0,104.75
INV000722,4,164.0,81.75
INV000723,2,323.0,199.0
INV000724,3,209.0,111.33333333333333
INV000725,6,92.0,67.5
INV000726,4,165.0,93.5
INV000728,2,113.0,99.0
INV000729,4,135.0,109.75
INV000730,3,145.0,103.0
INV000731,2,152.0,122.5
INV000732,4,130.0,81.0
INV000733,3,189.0,127.66666666666667
INV000734,3,180.0,116.0
INV000735,3,264.0,129.33333333333334
INV000736,5,132.0,71.8
INV000737,6,124.0,73.66666666666667
INV000738,4,163.0,77.0
INV000739,4,219.0,100.5
INV000740,1,223.0,223.0
INV000741,5,101.0,81.6
INV000742,4,176.0,97.75
INV000743,3,196.0,105.33333333333333
INV000744,2,96.0,79.5
INV000745,3,217.0,137.33333333333334
INV000746,5,124.0,80.6
INV000747,5,125.0,74.8
INV000748,3,114.0,89.66666666666667
INV000749,5,127.0,69.2
INV000750,2,177.0,119.5
INV000751,6,97.0,64.33333333333333
INV000752,3,269.0,134.66666666666666
INV000753,4,112.0,67.25
INV000754,5,103.0,74.0
INV000755,4,115.0,96.5
INV000756,2,157.0,113.5
INV000757,4,167.0,97.75
INV000758,4,180.0,102.5
INV000759,5,141.0,91.6
INV000760,3,148.0,102.66666666666667
INV000761,6,173.0,76.66666666666667
INV000762,3,367.0,161.66666666666666
INV000764,3,154.0,109.33333333333333
INV000765,4,166.0,91.5
INV000766,3,197.0,118.33333333333333
INV000767,3,227.0,145.0
INV000768,6,68.0,54.833333333333336
INV000769,6,206.0,76.66666666666667
INV000770,1,39.0,39.0
INV000771,3,176.0,121.66666666666667
INV000772,4,98.0,71.5
INV000774,5,148.0,79.8
INV000775,3,177.0,130.66666666666666
INV000776,6,71.0,62.0
INV000777,3,91.0,66.33333333333333
INV000778,4,168.0,95.0
INV000779,5,92.0,63.4
INV000781,3,191.0,122.33333333333333
INV000782,2,105.0,74.5
INV000783,5,145.0,83.6
INV000784,4,244.0,104.5
INV000785,4,154.0,74.0
INV000786,4,199.0,110.75
INV000788,3,159.0,88.0
INV000789,4,171.0,78.75
INV000791,6,109.0,67.83333333333333
INV000792,1,271.0,271.0
INV000793,5,104.0,73.8
INV000795,3,155.0,116.33333333333333
INV000796,3,194.0,97.66666666666667
INV000797,2,378.0,216.5
INV000799,4,213.0,109.75
INV000800,2,333.0,194.5
INV000801,3,131.0,110.33333333333333
INV000802,2,89.0,75.5
INV000803,5,147.0,75.2
INV000804,3,208.0,136.0
INV000806,3,109.0,74.33333333333333
INV000808,2,292.0,194.0
INV000809,4,262.0,105.0
INV000810,4,93.0,65.75
INV000811,2,217.0,129.0
INV000813,2,300.0,177.5
INV000814,5,113.0,90.4
INV000815,3,161.0,88.66666666666667
INV000816,1,216.0,216.0
INV000818,4,261.0,122.75
INV000819,3,116.0,76.66666666666667
INV000820,2,168.0,103.5
INV000821,5,81.0,56.2
INV000822,4,98.0,69.5
INV000823,4,69.0,60.0
INV000824,3,279.0,140.66666666666666
INV000825,3,122.0,84.66666666666667
INV000826,4,218.0,99.5
INV000827,5,95.0,68.2
INV000828,1,429.0,429.0
INV000829,5,151.0,88.4
INV000830,4,122.0,79.75
INV000831,3,134.0,86.33333333333333
INV000832,3,93.0,83.66666666666667
INV000833,5,178.0,87.6
INV000834,1,241.0,241.0
INV000836,5,123.0,78.2
INV000837,2,358.0,209.0
INV000838,3,119.0,98.33333333333333
INV000839,2,192.0,189.5
INV000840,3,186.0,127.0
INV000841,4,213.0,97.0
INV000843,3,101.0,76.0
INV000844,3,131.0,97.66666666666667
INV000845,2,201.0,129.5
INV000846,3,135.0,117.33333333333333
INV000847,4,56.0,46.0
INV000848,1,132.0,132.0
INV000849,4,128.0,96.75
INV000850,1,60.0,60.0
INV000851,5,112.0,76.2
INV000852,3,246.0,143.33333333333334
INV000853,5,143.0,71.4
INV000854,4,170.0,109.5
INV000855,3,309.0,152.66666666666666
INV000856,5,128.0,77.2
INV000857,3,159.0,113.0
INV000858,4,131.0,66.25
INV000859,2,190.0,132.0
INV000860,3,110.0,91.66666666666667
INV000861,5,163.0,83.0
INV000862,4,158.0,103.25
INV000864,4,135.0,74.0
INV000865,6,99.0,56.5
INV000866,1,141.0,141.0
INV000867,2,120.0,117.0
INV000869,3,95.0,83.66666666666667
INV000870,4,94.0,81.25
INV000873,4,166.0,94.5
INV000874,7,136.0,58.57142857142857
INV000875,1,79.0,79.0
INV000876,2,66.0,52.5
INV000877,5,75.0,54.0
INV000878,1,66.0,66.0
INV000879,2,108.0,85.0
INV000880,5,166.0,84.8
INV000881,5,103.0,60.6
INV000883,1,257.0,257.0
INV000884,1,205.0,205.0
INV000885,2,261.0,190.5
INV000886,1,100.0,100.0
INV000887,2,238.0,152.5
INV000888,3,166.0,126.66666666666667
INV000889,1,263.0,263.0
INV000890,3,108.0,70.33333333333333
INV000891,5,116.0,77.8
INV000892,3,171.0,118.33333333333333
INV000893,3,147.0,94.0
INV000894,4,181.0,94.5
INV000895,5,142.0,83.6
INV000896,1,173.0,173.0
INV000897,2,151.0,120.5
INV000898,1,323.0,323.0
INV000899,2,260.0,171.0
INV000900,3,131.0,116.0
INV000901,4,95.0,64.75
INV000902,4,96.0,70.0
INV000904,3,186.0,130.66666666666666
INV000906,5,109.0,62.0
INV000907,4,115.0,67.0
INV000908,3,145.0,80.0
INV000909,3,151.0,131.0
INV000910,4,151.0,88.25
INV000912,5,144.0,71.0
INV000913,3,211.0,131.66666666666666
INV000914,4,116.0,91.0
INV000915,5,120.0,78.2
INV000918,2,247.0,151.5
INV000919,2,204.0,131.5
INV000920,4,140.0,74.25
INV000921,3,261.0,115.0
INV000922,4,126.0,75.0
INV000925,3,202.0,106.33333333333333
INV000926,4,111.0,86.75
INV000927,1,53.0,53.0
INV000929,4,104.0,68.25
INV000930,3,75.0,53.333333333333336
INV000931,3,124.0,98.66666666666667
INV000932,1,239.0,239.0
INV000933,5,193.0,80.4
INV000934,2,61.0,60.0
INV000935,3,73.0,51.333333333333336
INV000937,2,197.0,165.0
INV000938,1,153.0,153.0
INV000939,5,93.0,67.6
INV000940,3,139.0,94.66666666666667
INV000941,3,189.0,140.33333333333334
INV000942,6,118.0,60.5
INV000943,3,210.0,129.33333333333334
INV000944,2,265.0,156.5
INV000946,3,117.0,90.0
INV000947,4,221.0,101.25
INV000948,1,87.0,87.0
INV000949,5,120.0,66.8
INV000950,4,189.0,93.25
INV000953,3,185.0,110.0
INV000954,5,116.0,82.0
INV000955,3,267.0,140.66666666666666
INV000957,4,122.0,76.75
INV000958,3,208.0,145.33333333333334
INV000959,4,163.0,73.5
INV000960,5,150.0,92.2
INV000961,2,240.0,207.0
INV000962,4,133.0,80.0
INV000963,3,231.0,111.33333333333333
INV000964,3,217.0,129.66666666666666
INV000966,5,106.0,64.4
INV000967,1,47.0,47.0
INV000968,3,286.0,120.33333333333333
INV000969,3,179.0,115.33333333333333
INV000970,2,104.0,82.0
INV000971,5,115.0,71.6
INV000972,4,107.0,70.25
INV000973,1,55.0,55.0
INV000974,6,131.0,71.83333333333333
